Job Title,Salary Estimate,Job Function,Job Description,Company Name,Rating,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,min_salary,max_salary,avg_salary,age,python_yn,R_yn,spark,aws,excel,company_txt,job_state
Data Scientist,"₹1,000K - 0 (Glassdoor Est.)",Data Scientist,"Looking for a hands-on and passionate Data-Scientist to design & build large-scale Predictive and Prescriptive solution(s) that are expected to provide meaningful pro-active business insights in Construction Tech Analytics software, thereby helping save $$$ to Oracle customers !

Key Competencies:
Hands-on model building for Data Science, NLP & Computer Vision problems. The ideal candidate understands human behavior and knows what to look for in the data, and can work closely with the engineering and product management teams to solve complex problems with unique data, analysis, algorithms, and insights, and is expected to build and lead a team around these competencies. We are looking for the following Key skills and Educational Qualifications & Industry experience levels:

Role:
Research and develop analysis, modeling, and optimization methods to improve the AI in Oracle CEGBU CIC product.

Participate in innovative research in machine intelligence and machine learning applications in a SaaS environment.

Work with large, complex data sets. Solve difficult, non-routine analysis problems, applying advanced ML methods as needed.

Conduct analysis that includes data gathering and requirements specification, processing, analysis, ongoing deliverables, and presentations.

Provide recommendations on our ML and experimentation roadmap, proposing what to study and to develop to bring ML methods to scale.

Develop the experimentation platform by researching new methods and conducting rigorous analyses

Mentor other Data Scientists, and help them to develop their projects related to experimentation and evaluation

Provide guidance on statistical, deep learning and machine learning methodological problems across CEGBU.

Develop solutions for real world, large-scale problems.

Implement data science pipelines and applications in a general programming language such as Python, Spark, Scala or Java

Craft a measurement strategy to evaluate the performance of complex systems against challenging requirements


Experience in NLU/NLP, Computer Vision, Machine Learning, Deep Learning, Algorithmic Foundations of Optimization, Data Mining or Machine Intelligence (Artificial Intelligence).

In-depth knowledge of machine learning algorithms and their applications including practical experience with and theoretical understanding of algorithms for classification, regression, clustering, deep learning and reinforcement learning.

Programming experience in Python, Java and JavaScript.

Strong communication and ability to explain difficult technical topics (especially causal topics) to everyone from data scientists to engineers to business partners.

Ability to ingest large data using at least one query language (e.g., SQL, Spark, etc.), and use one of scripting language for more sophisticated analyses (e.g., R, Python, Scala).

Self-starter with strong leadership abilities. Excellent presentation skills, distilling complex analysis and concepts into concise business-focused takeaways

Excellent problem solving, critical thinking, analytical and interpersonal skills

Able to work well with diverse roles such as product managers and engineers

Ability to handle multiple projects with strict deadlines

Experience with the machine learning life cycle and libraries in Python/Scala

Experience with one or more deep learning frameworks e.g., TensorFlow, PyTorch.

Working knowledge of relational databases, including SQL, and large-scale distributed systems such as Hadoop and Spark


Bachelors, Masters, or PhD Degree in Computer Science/Machine Learning or equivalent professional experience.

Design, develop, troubleshoot and debug software programs for databases, applications, tools, networks etc.

As a member of the software engineering division, you will take an active role in the definition and evolution of standard practices and procedures. You will be responsible for defining and developing software for tasks associated with the developing, designing and debugging of software applications or operating systems.

Work is non-routine and very complex, involving the application of advanced technical/business skills in area of specialization. Leading contributor individually and as a team member, providing direction and mentoring to others. BS or MS degree or equivalent experience relevant to functional area. 7 years of software engineering or related experience.
Innovation starts with inclusion at Oracle. We are committed to creating a workplace where all kinds of people can be themselves and do their best work. It’s when everyone’s voice is heard and valued, that we are inspired to go beyond what’s been done before. That’s why we need people with diverse backgrounds, beliefs, and abilities to help us create the future, and are proud to be an affirmative-action equal opportunity employer.

Oracle is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability and protected veterans status, age, or any other characteristic protected by law. Oracle will consider for employment qualified applicants with arrest and conviction records pursuant to applicable law.",Oracle,3.7,Bangalore,10000+ Employees,1977,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),1000,0,500,44,1,1,1,0,1,Oracle,Bangalore
Data Scientist III - CDP,₹558K - ₹723K (Glassdoor Est.),Data Scientist,"Who are we and What do we do?
InMobi is a global provider of enterprise platform for marketers. Our platforms help Marketers reach nearly 1.56 billion unique users through mobile to help them engage, acquire, re-engage, re-market and retain valuable users. InMobi is also India's first unicorn and one of the only profitable global tech-product companies to emerge out of India.
At 20+ offices across the globe, InMobi employs over 1000 personnel constituting 25 nationalities. Acclaimed for its culture, InMobi has consecutively featured on the Great Places to Work (GPTW) list, with a consistent hold in the Top 50 position for the past two years. Moreover, these accolades are not just restricted to India, InMobi has also secured a ranking on the GPTW's 2017 China List, a notable feat for an Indian startup.
InMobi has also regularly featured on world disruptor lists – MIT Technology Review's 2013 50 Disruptive Companies; Fast Company's Most Innovative Companies for 2016, 2018; CNBC's Disruptor 50 list of 2018, here InMobi was selected amongst a pool of more than 980 forward-thinking and ambitiou private companies across the globe, we now share this space with the likes of SpaceX, Airbnb, Uber and so on.",InMobi,4.1,Bangalore,501 to 1000 Employees,2007,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,558,723,640.5,14,0,1,0,0,0,InMobi,Bangalore
Data Scientist,₹555K - ₹579K (Glassdoor Est.),Data Scientist,"NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now.
We are currently seeking a Data Scientist to join our team in Bangalore, Karnātaka (IN-KA), India (IN).
- Desire Experience – - Product development: 1-2 Years - Data Science components of MS Azure & SQL: 2-3 Years - Reporting platform like MS Power BI or Qlik Sense: 1-2 Years - Experience in IT operations and platform development - Overall experience 10+ years Education: Bachelor's (Mathematics, Statistics, Operations Research or Engineering) - Role & Responsibilities - Responsible for guiding the successful delivery of NTT Data Advanced Analytic Solutions and Services in a consultative environment. - This individual is responsible for collaborating with various teams along with onsite Data Analyst and providing periodic updates through presentations and prototype demonstrations. - The role will require working on multiple projects simultaneously. - This position will also be involved in the formulation of key business requirements to be solved, rationalizing the various analytical approaches to solve those problems.",NTT DATA Services,3.7,Bangalore,10000+ Employees,1967,Company - Public,IT Service,Information Technology,$10+ billion (USD),555,579,567,54,0,0,0,0,0,NTT DATA Services,Bangalore
Data Scientist,₹661K - ₹927K (Glassdoor Est.),Data Scientist,"About Flock

Flock is an enterprise messaging and collaboration app. At Flock we believe that synchronous messaging tools, supported with internal and external applications, have the power to smash organisational hierarchies, breakdown silos in the workplace, help companies better capture innovative ideas, support individuals in making faster decisions, and also bring more personable communication style into the workplace.
With 30,000 businesses already using the platform we know that we are onto something big, and are now gearing up for a period of rapid growth.

Flock is founded by Bhavin Turakhia. Serial entrepreneur and billionaire, Bhavin Turakhia is driven by a passion for problem-solving and maximizing efficiency through technology driven innovations. In the last 22 years, he has built 5 successful businesses, all driven by his belief that “it is our moral obligation to make an impact that is proportionate to our potential”. At 17, he co-founded Resellerclub, Logicboxes and BigRock, which he exited in a $160mn transaction in 2014. He is presently heading Flock - a suite of productivity apps, Zeta - a digital payments platform, and Radix - a leading registry for top-level extensions.",Directi,4,Mumbai,1001 to 5000 Employees,1998,Company - Private,Internet,Information Technology,$1 to $2 billion (USD),661,927,794,23,0,0,0,0,0,Directi,Mumbai
Data Scientist,₹900K - ₹980K (Glassdoor Est.),Data Scientist,"Job Description
We are looking for Data Scientist Level II (Operational Analytics) for the Data and Operational Excellence Team:
Essential Duties and Responsibilities :
Gather and analyze information, design and code data processes, build reports, dashboards and data visualizations; formulate and test hypotheses, contribute to the development and communication of recommendations and help the leadership make informed business decisions for assigned projects; Managing the coding and/or extraction of data to conduct thorough analysis.
Ability to understand the business insight through data analysis and other analytics.",Wolters Kluwer,3.7,Pune,10000+ Employees,1836,Company - Public,Consulting,Business Service,$2 to $5 billion (USD),900,980,940,185,0,0,0,0,1,Wolters Kluwer,Pune
Data Scientist,₹350K - ₹636K (Glassdoor Est.),Data Scientist,"job Description

Skill Set:
1. The candidate needs to have thorough knowledge of various machine learning models, its application and limitations
2. The candidate should have experience developing solutions/ methodology for multiple Predictive analytics problem statements.
3. The candidates will be required to do end to end project delivery - Defining problem statement/ hypothesis, solution/ methodology, EDA, POC, Modelling, validation and productionizing.
4. Working experience in all the following tools - Python/R, SQL and PowerBI.
5. Working experience in predictive analytics - model building, model validation, data story telling
6. Hands on experience in classification and regression type problems


3 to 6 years of experience.

3.00-6.00 Years",Provance Business Consulting Private Limited,5,Pune,1 to 50 Employees,2020,Company - Private,Staffing & Outsourcing,Business Service,Unknown / Non-Applicable,350,636,493,1,1,1,0,0,0,Provance Business Consulting Private Limited,Pune
Data Scientist,₹312K - ₹861K (Glassdoor Est.),Data Scientist,"Required Experience
Minimum : 4 years Maximum : 8 years

Job Description
We are looking for a Data Scientist to analyze large amounts of raw information to find patterns. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research.
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data",Akeo Software Solutions,4.2,Jaipur,1 to 50 Employees,2012,Company - Private,IT Service,Information Technology,Unknown / Non-Applicable,312,861,586.5,9,0,0,0,0,0,Akeo Software Solutions,Jaipur
Manager- Data Scientist,"₹851K - ₹1,004K (Glassdoor Est.)",Data Scientist,"Manager- Data Scientist-CPG021198
With a startup spirit and 90,000+ curious and courageous minds, we have the expertise to go deep with the world’s biggest brands—and we have fun doing it. Now, we’re calling all you rule-breakers and risk-takers who see the world differently, and are bold enough to reinvent it. Come, transform with us.
Inviting applications for the role of Manager, Data Scientist
In this role, we are looking for a Data Scientist who would be responsible for the creation of new Data Science capabilities for the business by envisioning and executing strategies that will influence improvement of the business performance by enabling informed decision making of our CPG clients. Are you the one we are looking for!",Genpact,3.8,Bangalore,10000+ Employees,1997,Company - Public,IT Service,Information Technology,$2 to $5 billion (USD),851,1004,927.5,24,0,1,0,0,0,Genpact,Bangalore
Data Analyst,₹534K - ₹825K (Glassdoor Est.),Data Analyst,"Job Description:
6sense is seeking a Data Analyst who will partner with teams across the entire organization to ensure the highest quality of data across all workflows and to derive insights from this data to take our product to the next level. Do you have strong SQL skills and an excellent attention to detail? Are you passionate about adding product value through data discovery? If so, then this may be the role for you!
6sense is a Predictive Intelligence Engine that is reimagining how B2B companies do sales and marketing. It works with big data at scale, advanced machine learning and predictive modeling to find buyers and predict what they will purchase, when and how much. By combining intent signals from every channel with the industry's most advanced AI predictive capabilities, it is finally possible to predict account demand and optimize demand generation in an ABM world.
Responsibilities:
As a Data Analyst, you will directly support the growth and development of the products that our customers use every day. Daily we are aggregating billions of events from our data partners and from our customers for whom we are building world-class sales and marketing insights.

Getting to buyers earlier in their journey makes all the difference. There's an explosion of data as buyers of enterprise products and services increasingly shift their buying research online and beyond the reach of company-controlled digital properties.",6sense,4.9,Bangalore,201 to 500 Employees,2013,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,534,825,679.5,8,0,0,0,0,1,6sense,Bangalore
Data Scientist,₹594K - ₹835K (Glassdoor Est.),Data Scientist,"Data Scientist
Job Purpose
Trimble Spime is looking for a highly motivated, self-directed data scientist with strong interests and capabilities in the implementation and design of analytical data models and reports. Our team is focused on driving a culture of experimentation and bold thinking through rapid build/measure/learn cycles. You will be working and coordinating with colleagues who bring engineering, industry domain, business development, design, and analytical thinking skill sets to the table, and who, more importantly, are dedicated to taking a customer-centric approach to developing innovation that will deliver lasting, and differentiable value. Our team focuses on the potential impacts of emerging technologies such as big data, predictive analytics, machine learning, artificial intelligence, mobile, and AR/MR applications.",Trimble,4.4,Chennai,201 to 500 Employees,1979,Subsidiary or Business Segment,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,594,835,714.5,42,0,0,0,0,0,Trimble,Chennai
Lead Data Engineer,₹370K - ₹583K (Glassdoor Est.),Data Engineer,"Job Duties
Translate business and functional requirements into robust, scalable, operable solutions that work well within the overall data architecture at Avalara
Design and develop data pipelines, data ingestion and ETL processes that are scalable, repeatable and secure for stakeholder needs
Data modelling and experience with data engineering tools and platforms such as Kafka, Spark, and Hadoop
Mentor junior data engineers
Communicate potential risks, delays, concerns and status to stakeholders
Participating in Agile development activities including sprint planning, stand-ups, retrospectives and demos


• You are equally happy coding and leading a team to implement a solution

• You have a track record of innovation and expertise in Data Engineering

• You're passionate about craftsmanship and have applied your expertise across a range of industries and organisations

• You have a deep understanding of data modelling and experience with data engineering tools and platforms such as Kafka, Spark, and Hadoop

• You have built large-scale data pipelines and data-centric applications using any of the distributed storage platforms such as HDFS, S3, NoSQL databases (Hbase, Cassandra, etc.) and any of the distributed processing platforms like Hadoop, Spark, Hive, Oozie, and Airflow in a production setting

• Hands on experience in MapR, Cloudera, Hortonworks and/or cloud (AWS EMR, Azure HDInsights, Qubole etc.) based Hadoop distributions

• You are comfortable taking data-driven approaches and applying data security strategy to solve business problems

• You're genuinely excited about data infrastructure and operations with a familiarity working in cloud environments

• Working with data excites you: you have created Big data architecture, you can build and operate data pipelines, and maintain data storage, all within distributed systems

• Advocate your data engineering expertise to the broader tech community.



We're building cloud-based tax compliance solutions to handle every transaction in the world.

Imagine every transaction you make — every tank of gas, cup of coffee, or pair of sneakers, every movie ticket, meal kit, or streamed song, every sensor-to-sensor ping. Nearly every time you make a purchase, physical or digital, there's an accompanying unique and nuanced tax compliance calculation.

The logic behind calculating taxes — the rules, rates, and boundaries — is a global, layered, three-dimensional mess of complexity, with compliance dictated by governments and applied by every business, every day.

Avalara works with businesses of all sizes, all over the world — from corner stores to gigantic global retailers — to calculate tax accurately and automatically, at speeds measured in milliseconds.

That's a massive technical challenge, in terms of scale, reliability, and complexity, and we do it better than anyone. That's why we're growing fast.

Headquartered in Seattle, Avalara has offices across the U.S. and around the world, in Belgium, Brazil, Canada, India, and the U.K.

Avalara is an Equal Opportunity Employer. All qualified candidates will receive consideration for employment without regard to race, color, creed, religion, age, gender, national orientation, disability, sexual orientation, or any other factor protected by law.",Avalara,4,Hyderābād,1001 to 5000 Employees,2004,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,370,583,476.5,17,0,1,1,1,0,Avalara,Hyderābād
Data Engineer,₹511K - ₹718K (Glassdoor Est.),Data Engineer,"Job Description

Job Title –

Data Engineering

Place of work

Mumbai
Business Unit

– Corporate Function

Function

– HPE


Drive execution of technical and architectural decisions made by data engineers and ensure deployment of right practices. Populate data platforms, build execution framework and diagnosis of existing architecture from a data engineering perspective


Design and implementation of analytics execution framework

Work with data scientists and other data engineers to develop data pipelines for model development and productization

Provide inputs on right tool options and model designs for use cases

Help data architect and data translators understand technical nuances to constructively drive fast iterations

Design roadmap for implementing software engineering practices for higher code quality

Identify gaps and implement solutions for data security, quality and automation of processes

Collaborate with team members from varied backgrounds & disciplines to drive outcomes


Graduate – Any


Minimum of 7+ Years",IDFC FIRST Bank,3.5,Mumbai,5001 to 10000 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,511,718,614.5,-1,0,0,0,0,0,IDFC FIRST Bank,Mumbai
Data Scientist,₹129K - ₹783K (Glassdoor Est.),Data Scientist,"We are looking for a Data Scientist who will support our Company with insights gained from analysing company data. The ideal candidate is adept at using large data sets to find opportunities, patterns and process optimization and using scalable models to test the effectiveness of different courses of actions that will help improve our company business decision capabilities. You must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. You should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. You must have a proven ability to drive business results with their data-based insights. Must be comfortable working with a wide range of stakeholders and functional teams.
The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.",Jumio Corporation,-1,Jaipur,-1,-1,-1,-1,-1,-1,129,783,456,-1,0,0,0,0,0,Jumio Corporation,Jaipur
Data Scientist,₹360K - ₹950K (Glassdoor Est.),Data Scientist,"null
Proven experience as a Machine Learning Engineer or similar role

Understanding of data structures, data modelling and software architecture

Deep knowledge of math, probability, statistics and algorithms

Ability to write robust code in Python, Java and R

Working experience with python and associated libraries in Deep Learning/ Machine Learning Framework

Excellent communication skills

Ability to work in a team

The candidate should have strong analytical skill with mathematical problem-solving ability, Statistical modelling and Prediction

Knowledge of R and Matlab, Java and GIS-Remote Sensing can be added advantage

- Experience with NLP pipelines - Experience in Academic data - Experience in PL/SQL and RDBMS

Experience in GP-GPU programming environments (Cuda, OpenCV) - Strong coding chops

Familiarity with web technologies

Must have experience working on large scale projects as well as handling day-to-day operational requests from the business

Strong project management, ability to successfully manage multiple tasks at any given point, strong relationship building skills & communication skills

Understanding of fundamentals and analytical data

Data analysis – Must have proficiency with SQL, Microsoft Excel",Infinium Solutionz,3.7,Ahmedabad,201 to 500 Employees,2008,Company - Private,IT Service,Information Technology,$100 to $500 million (USD),360,950,655,13,1,0,0,0,1,Infinium Solutionz,Ahmedabad
Data Analyst,₹780K - ₹950K (Glassdoor Est.),Data Analyst,"Job Requisition ID #
21WD47728

Position Overview

At Autodesk, we believe that nothing is impossible, and you can #makeanything, and the right candidate would bring that mindset to the People Services- People Data Operations team. This group partners closely with People & Places teams to provide high scale operational reporting and data support services. As a People Data Analyst, you will be responsible for providing data transaction support and accurate responses to data queries.

Responsibilities
Partners with Workday, ServiceNow expert team members to ensure data accuracy in transactions
#LI-POST

At Autodesk, we're building a diverse workplace and an inclusive culture to give more people the chance to imagine, design, and make a better world. Autodesk is proud to be an equal opportunity employer and considers all qualified applicants for employment without regard to race, color, religion, age, sex, sexual orientation, gender, gender identity, national origin, disability, veteran status or any other legally protected characteristic. We also consider for employment all qualified applicants regardless of criminal histories, consistent with applicable law.",Autodesk,4.2,Bangalore,5001 to 10000 Employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),780,950,865,39,0,1,0,0,0,Autodesk,Bangalore
Data Scientist,₹520K - ₹900K (Glassdoor Est.),Data Scientist,"Business Unit:
Cubic Corporation
Company Details:
Cubic offers an opportunity to provide innovative technology for government and commercial customers around the globe, helping to solve their future problems today. We’re the leading integrator of payment and information technology and services for intelligent travel solutions worldwide, and the leading provider of realistic combat training systems, secure communications and networking and highly specialized support services for military and security forces of the U.S. and allied nations. If you have an entrepreneurial spirit and thrive in an innovative environment, we want to talk to you about your next role at Cubic! We are seeking employees inspired by technology, and motivated by the rewards of hard work, commitment, teamwork, quality, integrity, and respect. We invite you to explore opportunities with Cubic.
Employee",Cubic Corporation,3.4,Hyderābād,5001 to 10000 Employees,1951,Company - Public,Aerospace & Defence,Aerospace & Defence,$1 to $2 billion (USD),520,900,710,70,0,0,0,0,0,Cubic Corporation,Hyderābād
Data Scientist - Predictive Sales,₹700K - ₹781K (Glassdoor Est.),Data Scientist,"Reinventing since 1939. We are one of the leading Print and Personal Systems technology companies in the world and our vision is to create technology that makes life better for everyone, everywhere. Joining HP is joining an adventure to reinvent the tech world and reinvent yourself every day!
As Data Scientist in the Sales & Channel team you will shape HP’s future of how we drive sales with AI guided action and Predictive analytics. Working in a very dynamic, highly skilled and diverse team (statisticians, engineers, scientists – many of them with a PhD), you will combine your economic & engineer thinking, statistical modeling, experimentation and optimization methods to build complex algorithms for most popular Printers and PCs in the market.
About you:
You are passionate about unveiling answers to most difficult questions using data and models",HP,4.2,Bangalore,10000+ Employees,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,700,781,740.5,82,0,0,0,0,0,HP,Bangalore
Data Scientist,₹374K - ₹700K (Glassdoor Est.),Data Scientist,"At UiPath we see boundless potential in the way we live. It drives the way we work. Our culture is our most valuable asset, that's why it acts like a compass to us. We’re fast, immersed, humble and bold. And that’s not just words on the walls.

Eliminating time-consuming tasks means people get to do more of what they love. It’s an inspiring, high stakes challenge that motivates us, and this common passion bonds UiPath employees globally. We all strive every day to be better and to accelerate human achievement.

We make robots, but we hire people. Would you like to be part of this journey?
Here's what you would be doing at UiPath:
Build, Improve and extend Computer vision & NLP capabilities research and evaluate new/different approaches to business problems. Help team to build powerful and scalable model along with infrastructure to take these models from experimentation to production.",UiPath,4.1,Bangalore,1001 to 5000 Employees,2005,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,374,700,537,16,0,0,0,0,0,UiPath,Bangalore
Data Scientist,₹293K - ₹491K (Glassdoor Est.),Data Scientist,"AppZen is the leader in Finance AI software. Our patented software is the only autonomous spend software to understand financial transactions and enable automatic decisions based on finance policies. Using AI deep learning, semantic analysis, and computer vision, AppZen accurately processes intelligence from thousands of data sources and images to better understand financial transactions and empower business decisions. AppZen has saved customers more than $500M and increased efficiency by 90 percent by eliminating 1M hours of manual work. Over 1,800 enterprises use AppZen for autonomous expense and accounts payable processes, reduced expenditures and real-time insights into business spend trends.

We are looking for a Data Scientist to come and work on our growing AI stack. You will be working with a team of highly skilled and motivated data scientists and machine learning engineers. If you are excited about natural language understanding and machine translation, AppZen is the right place for you to apply and grow your skills.",AppZen,4.1,Pune,201 to 500 Employees,2012,Company - Private,Financial Transaction Processing,Finance,$5 to $10 million (USD),293,491,392,9,0,0,0,0,0,AppZen,Pune
Data Scientist,₹552K - ₹832K (Glassdoor Est.),Data Scientist,"Ingredion is currently recruiting for the position of Data Scientist. In this role, we are seeking a skilled, passionate individual who has a rich background of working with variety of data and data sources and providing meaningful predictive outcomes. In this exciting start-up environment, you'll have the opportunity to develop data science processes from the ground up and work directly with decision-making leaders to shape the future of Ingredion’s most important strategic initiatives.
Responsibilities:
Develop and validate statistical forecasting models or predictive models and tools
Research and evaluate innovative analytical methodologies, approaches, and solutions
Collaborate with data engineering, analytics and data integration teams to set objectives, approaches, and work plans
No",Ingredion,3.7,Mumbai,10000+ Employees,1906,Company - Public,Food & Drink Manufacturing,Manufacturing,$5 to $10 billion (USD),552,832,692,115,0,0,0,0,0,Ingredion,Mumbai
Data Scientist - Machine Learning (Commerce BU),"₹594K - ₹1,080K (Glassdoor Est.)",Data Scientist,"Overview:
The Data Science and Machine Learning team works closely with sales, product and engineering teams to design and implement the next generation of retail solutions. Data Science team members bear the heavy burden of turning both small, sparse and massive data into actionable insights with measurable improvements to the customer bottom line. They use rigorous analysis and repeatable processes to implement both black box and interpretable models.
Responsibilities:
Under guidance, or independently, design and implement machine learning models by
Procuring data from platform, client and public data sources",Blue Yonder,4.2,Bangalore,5001 to 10000 Employees,1985,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $2 billion (USD),594,1080,837,36,0,0,0,0,0,Blue Yonder,Bangalore
Sr Advanced Data Scientist,"₹702K - ₹1,000K (Glassdoor Est.)",Data Scientist,"Innovate to solve the world's most important challenges
Key responsibilities -
Implementation of end-to-end statistical/ML/analytics solutions as per the industry standard process, CRISP-DM
Understand business requirements and propose suitable solutions
Explore, devise and implement ML algorithm stack
Experiment, prototype and finalize specific solution with the best business metrics
Design and implement architecture/tech stack for data integration, data flow and data storage for ML solutions
Collaborate with product teams across the organization for deployment and integration of AI solutions in existing products
Deliver production quality, modular, reproducible code in Python
Create data visualizations to visualize raw data and analytics insights to demonstrate efficacy of the solution

Requirements –
Solid understanding of statistics, probability, ML and DL
A minimum of 2 years of experience in developing and deploying end-to-end AI/ML solutions in production environment
Exposure to reinforcement learning, supervised and unsupervised algorithms, various architectures of neural networks, time series forecasting, deep learning networks
Deep expertise in any specific application of ML and DL
Prior experience in building and deploying ML pipelines from data ingestion, preparation to deploying models in production
An understanding of various databases relational, NoSQL with prior experience in any DB
Exposure to ML and DL frameworks like TensorFlow, PyTorch, Caffe, etc
Familiarity with ML testing and data validation frameworks
Good to have –
Familiarity with IoT communication protocols like MQTT
Edge AI deployment experience",Honeywell,3.7,Bangalore,10000+ Employees,1885,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),702,1000,851,136,1,1,0,0,0,Honeywell,Bangalore
Data Engineer,₹114K - ₹608K (Glassdoor Est.),Data Engineer,"3+ years of experience as a Data Engineer or in a similar role
Experience with data modeling, data warehousing, and building ETL pipelines
Experience in SQL
Understanding of ETL concepts and experience of using them to build large-scale, complex datasets using traditional data warehousing or big data technologies.
Data modeling skills with solid knowledge of various industry standards such as dimensional modeling, star schemas etc
Proficient in writing performant SQL working with large data volumes
Experience designing and operating very large Data Warehouses
Experience with scripting for automation (e.g., UNIX Shell scripting, Python, Perl, Ruby).
The Finance Automation team at Amazon is looking for a Data Engineer to play a key role in building next generation data warehouse services in finance space. The ideal candidate will be passionate about building large, scalable, and fast distributed systems on AWS stack. The candidate will want to be part of a team that has accepted the goal to democratize access to data and enabling data driven innovations for the entire finance business in Amazon. We are one of the fastest growing Data Engineering teams across Amazon with strong technology orientation.

We are looking for a candidate with strong background in the AWS technology stack (S3, EMR, Redshift) and traditional data warehousing experience with interest in data mining and ability to sieve emerging patterns and trends from large amounts of data. The successful candidate should have strong experience with all standard data warehousing technical components (e.g. ETL, Reporting, and Data Modeling), infrastructure (hardware and software) and its integration. The ideal candidate will have experience in dimensional modeling, excellent problem solving ability, capability in dealing with huge volumes of data, and has a short learning curve. Excellent written and verbal communication skills are required as the candidate will work very closely with diverse teams and senior leadership.

Along with complex problems to solve, we provide you a world class work environment and a chance to work with talented team members in the data engineering space and the opportunity to contribute and create history while having fun.

Responsibilities
·
·
·
·
·",ADCI HYD 13 SEZ,4.3,Hyderābād,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),114,608,361,27,1,1,0,1,1,ADCI HYD 13 SEZ,Hyderābād
Sr Data Scientist,"₹918K - ₹1,156K (Glassdoor Est.)",Data Scientist,"As a member of our Predictive Science Group we look first and foremost for people who are passionate around solving business problems through data, innovation & engineering practices. You will be required to apply your depth of knowledge and expertise to all aspects of the data lifecycle, as well as partner continuously with your many stakeholders on a daily basis to stay focused on common goals. We embrace a culture of experimentation and constantly strive for improvement and learning. You'll work in a collaborative, trusting, thought-provoking environment-one that encourages diversity of thought and creative solutions that are in the best interests of our customers globally.
As a member of a diverse team, you will be expected to:
Deep dive into business' problems and identify use cases that could represent an opportunity for transformational or disruptive innovation using the Machine learning models.","JPMorgan Chase Bank, N.A.",3.8,Bangalore,10000+ Employees,1799,Subsidiary or Business Segment,Banks & Building Society,Finance,$10+ billion (USD),918,1156,1037,222,0,0,0,0,0,"JPMorgan Chase Bank, N.A.",Bangalore
Data Engineer,₹522K - ₹600K (Glassdoor Est.),Data Engineer,"Before ApplyinG
We have big plans to disrupt the traditional fundraising process for private businesses
You will work with a diverse team of former investment bankers, strategy consultants and business owners in developing, monitoring, and improving products to facilitate the activity of private investing
Everything we do is focused on helping businesses do business, better
We work really hard but play really hard as well
‍
‍",Fundnel Pte Ltd,4.4,Mumbai,1 to 50 Employees,2015,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,522,600,561,6,0,0,0,0,0,Fundnel Pte Ltd,Mumbai
Senior Data Scientist,₹610K - ₹728K (Glassdoor Est.),Data Scientist,"At Trane Technologies® we Challenge Possible. Our brands – including Trane® and Thermo King® - create access to cooling and comfort in buildings and homes, transport and protect food and perishables, connect customers to elevated performance with less environmental impact, dramatically reduce energy demands and carbon emissions, and innovate with a better world in mind. We boldly challenge what’s possible for a sustainable world.

Job Summary：
We are looking for an experienced Data Scientist who is passionate about understanding operating principles, failure modes of mechanical hardware such as IC Engines, Compressors, and Refrigeration systems, etc. and develop different machine learning models that can accurately segregate/predict impending failures among fielded assets.

Responsibilities:",Trane Technologies,4.4,Bangalore,10000+ Employees,2020,Company - Public,Industrial Manufacturing,Manufacturing,Unknown / Non-Applicable,610,728,669,1,0,0,0,0,0,Trane Technologies,Bangalore
