Job Title,Salary Estimate,Job Function,Job Description,Company Name,Rating,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist/ML Engineer,-1,Data Scientist,"#LI
Specific Team Context
We are the global Finance analytics team, located primarily in Houston, TX and Bangalore, India. We design, develop and deploy production solutions to facilitate various Finance, Accounting, Planning, and Business Operations inside of HP. Our team has a mixture of disciplines ranging from Statisticians, Economists, Finance, Engineers, Front-end, Back-end, and visualization developers. HP is currently going through enterprise-scale transformation initiatives that heavily relies upon a data-driven culture. Our current focus for the coming year will be heavily forecast-related. Our team is flexible, dynamic, hungry, and humble; we are excited to find like-minded individuals!
Generic Role Description",HP,4.2,Bangalore,10000+ Employees,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Scientist I,₹732K - ₹988K (Glassdoor Est.),Data Scientist,"JOB FAMILY SUMMARY:
Makes sense of our data world through meaningful and actionable insights, identifying trends, delivering reports, informing product and infrastructure advancements, and promoting a culture of data-driven decision making.

JOB SUMMARY:
Data Scientist I focuses on extracting, understanding, manipulating and conveying complex data from MINDBODY’s production environment. This position works closely with their manager to prioritize tasks that are important to supporting our product and business units.",MINDBODY,3.8,Pune,1001 to 5000 Employees,2001,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Scientist,₹730K - ₹941K (Glassdoor Est.),Data Scientist,"Job Duties and Responsibilities
Supports data preparation, on demand data processing for analytical solutions leveraging transformational technologies.
Works on multiple projects as an analytics platform COE team member or lead user story analysis, elaboration, design and development of analytical APIs, testing, and builds automation.
Works with team members to design and implement data analytics solutions within project schedules
Code, unit test, train data and create documentation for analytical applications according to the data and analytics blueprint
Works with data engineers and developers to make sure that all data solutions are consistent.
1078049",Hewlett Packard Enterprise,4.2,Bangalore,10000+ Employees,2015,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Scientist,-1,Data Scientist,"Data Scientist | Financepeer | Hyderabad

Experience: 5.0 - 10.0 Years | CTC: Confidential | Functional Area: Business Intelligence;Data Analyst | Industry: Education; Financial services; Fintech; IT - Software Services | Location: Hyderabad, Telangana

About the Company:

Financepeer helps parents/students to pay their education fees in monthly installments that too at zero interest and zero cost. The education institution receives full year fees on behalf of parents from Financepeer at the beginning of the academic year( fee collection has no cap- can be Rs 1cr, Rs 10cr, Rs 100cr or above)

https://www.linkedin.com/in/rohitgajbhiye03/
https://www.linkedin.com/in/naveeshreddy/
https://www.facebook.com/financepeer/
https://www.instagram.com/finance_peer/?hl=en
https://twitter.com/_financepeer?lang=en
https://www.youtube.com/watch?v=mGjbU5Umi-4
https://www.youtube.com/watch?v=HAcBvnop6v4

data scientist, SQL, Python, R, Scala, C, C++, Java, JavaScript, Hadoop, Spark, Tableau



As Data Scientist, you will analyze, process, and model data then interpret the results to create actionable plans for companies and other organizations.

What will you do:

What you need to have:

| | |",Unnati,4.9,Hyderābād,1 to 50 Employees,2005,Company - Private,Staffing & Outsourcing,Business Service,Unknown / Non-Applicable
Data Science Business Consultant (Analytics Consultant),₹394K - ₹822K (Glassdoor Est.),Analytics Consultant,"Experience: 2-3 Years
Location : Hyderabad or Pune, India
Job Overview:
Core Compete (www.corecompete.com) is a global cloud analytics firm. With our capabilities in Cloud Data Warehousing, AI & ML Innovation, Analytics Application Modernization, and Intelligent Decisioning, we accelerate value from cloud analytics for global Fortune 1000 companies. Our clients are in financial services, retail, manufacturing, and media. We are growing rapidly with around 300 employees spread across U.S., U.K., and India who specialize in cloud engineering, software engineering, data engineering, managed services, data science, and business consulting. We are a top-tier partner with AWS, Google Cloud, Azure, SAS, Snowflake, Databricks, and others, with 500+ certifications completed by our team members. Core Compete is a certified Great Place to Work (GPTW) company and our employees rate us highly on being the best place to learn and grow.",CoreCompete,4.3,Hyderābād,201 to 500 Employees,2012,Company - Private,IT Service,Information Technology,Unknown / Non-Applicable
Lead Data Scientist and Machine learning Engineer,-1,Machine Learning Engineer,"Lead Data Scientist and Machine learning Engineer
Siemens founded the new business unit Siemens Advanta (formerly known as Siemens IoT Services) on April 1, 2019 with its headquarter in Munich, Germany. It has been crafted to unlock the digital future of its clients by offering end-to-end support on their outstanding digitalization journey. Siemens Advanta is a strategic advisor and a trusted implementation partner in digital transformation and industrial IoT with a global network of more than 8000 employees in 10 countries and 21 offices. Highly skilled and experienced specialists offer services which range from consulting to craft & prototyping to solution & implementation and operation – everything out of one hand!
Before our software developers write even a single line of code, they have to understand what drives our customers. What is the environment? What is the user story based on? Implementation means – trying, testing, and improving outcomes until a final solution emerges. Knowledge means exchange – discussions with colleagues from all over the world. Join our Digitalization Technology and Services (DTS) team based in Bangalore and enjoy the freedom to think in completely new categories!",Siemens Technology and Services Private Limited,4.1,Bangalore,10000+ Employees,1843,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$10+ billion (USD)
Data Scientist,₹360K - ₹800K (Glassdoor Est.),Data Scientist,"Company Overview
American multinational manufacturer and marketer of branded consumer foods sold through retail stores.

Develop novel ways to help business partners achieve objectives through analysis & modelling
Think outside the box to identify & test new sources of information that unlock new business value
Curate and connect external data sets for broad enterprise-wide analytic usage",RGF Professional Recruitment,3.6,Mumbai,51 to 200 Employees,2011,Unknown,Staffing & Outsourcing,Business Service,Unknown / Non-Applicable
Data Scientist,₹380K - ₹800K (Glassdoor Est.),Data Scientist,"5+ Years
Coimbatore | Chennai

What’s interesting about this role?

Apart from being a part of a successful team and a successful project, you will play an active role in helping
Payoda and businesses around the world transform for the better. You will also be an owner and catalyst in the

following:
We are looking for a passionate data scientist to become part of the Bigdata and Data Science team to
create real-time, data driven solutions for flag bearing organizations in Telecom and FinTech domains.

You are expected to develop, drive, and deliver data-based solutions and make technical innovations
happen.

You will have the opportunity to use cutting-edge technology across all stages of model development and
data management lifecycle.

You will have the opportunity to use big data technologies to tame real-world data science scenarios

What’s it going to take?

Well, we believe it takes a great deal of skill, passion, and perseverance to make this role successful. Here are a


Excellent understanding of Machine Learning algorithms

Hands-on data scrapping, data exploration, hypothesis building, and model development

Excellent understanding of deep learning and NLP concepts

Hands-on Scikit-learn, Tensor flow, Pytorch like frameworks

Good command over Python and R

Exposure to Big data stack is good to have

But in addition to all this technical experience and expertise, if you have great communication skills and a strong
work ethic, take ownership of duties and perform well against timelines, you’d be the best fit for us.",Payoda,4.3,Coimbatore,201 to 500 Employees,2005,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD)
"Senior Data Scientist, Customer Analytics",-1,Data Scientist,"Atlassian is continuing to hire with all interviewing and on-boarding done virtually due to COVID-19. All new and existing Atlassians will continue to work from home until it’s safe to return to our offices. When our offices re-open, we will provide the choice to work from home or return to work in an office unless a job requirement makes it necessary for a particular role to be performed at an Atlassian office.

Does the challenge of scaling a fast-growing company by empowering it with data, reporting and analytical insight excite you? Using your business instincts, analytics mastery and creativity, you will support a market-leading product, from analysis through to action. If you love finding patterns amidst chaos, making quick decisions, and aren’t afraid of being wrong, this could be a great fit!

You have a proven track record of delivering analyses leading to business insights. You develop strong and trusted relationships with executives and use your communication skills to change the way your partners approach problems, and influence product roadmaps. You are passionate driving your learning and growth in a dynamic, fast-paced environment.",Atlassian,4.6,Bangalore,5001 to 10000 Employees,2002,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Scientist,-1,Data Scientist,"Company Overview:
ABOUT OPORTUN

Based in Silicon Valley, Oportun (Nasdaq:OPRT) is dedicated to financial inclusion for the estimated 100 million people in the U.S. who are shut out of the financial mainstream because they don’t have a credit score or have been mis-scored by a traditional credit bureau. As a Community Development Financial Institution (CDFI), Oportun’s mission is to provide inclusive, affordable financial services that empower its customers to build a better future.

Since our first loan in 2006, Oportun has made over 3.8 million loans totaling over $9 billion to customers across 12 states. Oportun’s customers have saved an estimated $1.7 billion in interest and fees compared to the alternatives typically available to them. Oportun has helped more than 860,000 people establish a credit history for the first time.

Oportun was named one of Fast Company’s Most Innovative Companies in the World for 2020, a TIME Magazine 2018 Genius Company in recognition of its impact in helping to reinvent the future of lending. Oportun was recently named one of the Top Workplaces for 2019 and 2020 by the Bay Area News Group and recognized as the Best Consumer Lending Product by FinTech Breakthrough. Oportun previously made several fastest-growing lists, including Inc. 5000’s Fastest-Growing Private Companies in America and the San Francisco Business Times’ Fastest Growing Private Companies.

Overview:
Responsibilities:
Qualifications:",Oportun Inc,4.2,Chennai,1001 to 5000 Employees,2005,Company - Public,Lending,Finance,Unknown / Non-Applicable
Data Scientist 2,-1,Data Scientist,"Job Responsibilities

Designs, develops and programs methods, processes, and systems to consolidate and analyze unstructured, diverse Â“big dataÂ” sources to generate actionable insights and solutions for client services and product enhancement. Interacts with product and service teams to identify questions and issues for data analysis and experiments. Develops and codes software programs, algorithms and automated processes to cleanse, integrate and evaluate large datasets from multiple disparate sources. Identifies meaningful insights from large data and metadata sources; interprets and communicates insights and findings from analysis and experiments to product, service, and business managers.",Lam Research,4.5,Bangalore,10000+ Employees,1980,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$5 to $10 billion (USD)
Data Scientist,₹342K - ₹592K (Glassdoor Est.),Data Scientist,"Data Scientist (Ahmedabad)
InfoAnalytica Consulting is looking for a Data Scientist to join our Business Analytics & Data Management Practices at Ahmedabad. You will support our Products, Business Analytics, Marketing and Leadership teams with insights gained from analyzing large data sets.
You should be adept at leveraging your analytical, statistical and programming skills to collect, analyze and interpret large datasets to find actionable and using models and data mining/analysis methods to find opportunities for products and business analytics teams. You should have a passion for discovering solutions hidden in large data sets and working with stakeholders and teams to improve business outcomes.
The key aspects of this role:
Undertake preprocessing of structured and unstructured data
Assess the effectiveness and accuracy of new and existing data sources and, data gathering techniques",infoanalytica,3.5,Ahmedabad,201 to 500 Employees,2007,Company - Private,Consulting,Business Service,Unknown / Non-Applicable
Data Scientist,-1,Data Scientist,"Who we are
Fueled by a fundamental belief that having access to financial services creates opportunity, PayPal (NASDAQ: PYPL) is committed to democratizing financial services and empowering people and businesses to join and thrive in the global economy. Our open digital payments platform gives PayPal's 375 million active account holders the confidence to connect and transact in new and powerful ways, whether they are online, on a mobile device, in an app, or in person. Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and flexibility when sending payments, paying or getting paid. Available in more than 200 markets around the world, the PayPal platform, including Braintree, Venmo and Xoom, enables consumers and merchants to receive money in more than 100 currencies, withdraw funds in 56 currencies and hold balances in their PayPal accounts in 25 currencies.

When applying for a job you are required to create an account, if you have already created an account - click Sign In.

Creating an account will allow you to follow the progress of your applications. Our system does have some requirements that will help us process your application, below are some guidelines for creation of your account:

Job Description Summary:
PayPal has a partnership with Synchrony Financial (SYF) to underwrite PayPal-branded products. SYF and PPC are jointly responsible for managing the risk throughout the lifecycle of these credit products. This is an exciting organization where the contributions by the team members directly impact SYFs and PayPal's bottom lines and create experiences that our customers love. This role will be an analyst reporting into the Senior Manager responsible for working directly with Synchrony Financial to conceive, design, and monitor credit risk management strategies to improve business profitability for consumer lending.
Job Description:
Responsibilities:
Qualifications:

Subsidiary:
PayPal
Travel Percent:
0
Primary Location:
Chennai, Tamil Nadu, India

Additional Locations:



PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at paypalglobaltalentacquisition@paypal.com .",Paypal,4.3,Chennai,10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD)
Data Scientist,-1,Data Scientist,"Implement and support data discovery and predictive analytics models by analyzing business data.
Qualifications:
3+ years of experience with R
3+ years of experience with mahout or machine learning algorithms
1+ years of experience with deep learning libraries like TensorFlow or equivalent
Working experience with java or python
Database experience with MySQL or NoSQL database solutions
Ability to design the models to work on small to very large data sets",ScaleIn,-1,Bangalore,Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Scientist,-1,Data Scientist,"Jan 30, 2021
Responsibilities
Selecting features, building and optimizing classifiers using machine learning techniques
Data mining using state-of-the-art methods
Extending company’s data with third party sources of information when needed
Enhancing data collection procedures to include information that is relevant for building analytic systems
Processing, cleansing, and verifying the integrity of data used for analysis
Doing ad-hoc analysis and presenting results in a clear manner",Country Veggie,-1,Āgra,1 to 50 Employees,2019,Private Practice / Firm,Internet,Information Technology,Unknown / Non-Applicable
Data Scientist – 2+yrs – Bangalore – 20L,-1,Data Scientist,"Job Description :
Job Description: Data Scientist
The Data Scientist will be a part of Global Information Technology Team and will primarily have
responsibilities over the design, development, deployment and maintenance of data-driven algorithms
and dashboards for business consumption and overview.
The Data Scientist will work closely with the technology team located within the office in Bangalore,
as well as all levels of Management and Leadership teams. This is an unparalleled opportunity to
become part of a growing teamand a growing global organization. High performers will have significant
growth opportunities available to them.
Job Responsibilities
Collect and analyze data from a variety of sources across the company system and dataset
collections
Convert all data sources into a new format in order to process the data in a more logical,
predictable and organized way
Create new, fast prototype frameworks to collect data
Building tools to extract, process and load data into bigger dataset systems for querying, such as
a cloud-native data lake
Search through large datasets for usable information
Create reports, dashboards and presentations for business users
Correlate similar data to find actionable results
Use knowledge and research to constantly modernize our data processes, storage and analytics
Be a team player and strong problem-solver to work with a diverse team
Job Requirements
Bachelor's Degree or equivalent work experience
Fluent in English, with excellent oral and written communication skills
Experienced and well-versed in statistics
2+ years of experience with data querying languages, primarily SQL
2+ years of experience with programming languages, primarily Python
Experience with big-data technologies, such as Spark/Hadoop/Map Reduce
Experience with business intelligence tools, such as AWS Redshift and QuickSight
Experience with python data science libraries like Pandas, matplotlib and tensorflow
Proficient Understanding of git/GitHub as a source control system
(Desired) Familiarity with other SQL/NoSQL databases such as PostgreSQL, MongoDB, Redis
(Desired) Experience with Data Lakes and Big Data
Familiarity with working on an Agile/Iterative development framework
Self-starter with positive attitude with the ability to collaborate with product managers and
developers

2.00-5.00 Years",Angel & Genie,-1,Bangalore,-1,-1,-1,-1,-1,-1
Data Scientist - IPA,₹468K - ₹976K (Glassdoor Est.),Data Scientist,"ID: 17773
Posted: 3/15/2021
Location: Bangalore,
Category: Big- Data
Job Type: Permanent
Duration: Permanent


Description",Aleron,3.2,Bangalore,10000+ Employees,1957,Company - Private,Staffing & Outsourcing,Business Service,Unknown / Non-Applicable
DATA SCIENTIST,-1,Data Scientist,"Job Summary
Published on : 7 hours ago
Vacancy : 4
Employment Status : Full Time
Experience : 0 - 3 Yrs
Salary : 20000-30000
Interview Venue : AMBALA

Qualifications
You are ideally proficient in either Go, Python or Java
You have prior experience working on distributed systems
You are experienced at building highly available services, possessing knowledge of common service-oriented design patterns and service-to-service communication protocols
You are familiar with components of modern infrastructure like service discovery, secret storage, software-defined networking, etc.
Preferably, production experience with Kubernetes
Take initiative and be responsible for delivering complex software by working effectively with the team and other stakeholders

WHATSAPP YOUR RESUME/CV ON :(( +9I-76-17-57-33-20)) HR TEAM",AI Engineer,3.4,Ambāla,201 to 500 Employees,1991,Company - Private,Architectural & Engineering Service,Business Service,$25 to $50 million (USD)
Data Scientist,-1,Data Scientist,"We are looking for data analytic specialist to join the KONE Services and Solutions R&D team. In this role you are responsible to participate in analyzing data from our solutions and developing our analytics methods and algorithms for KONE’s equipment like elevators, escalators and building doors. Part of the work includes also participation of related new products development and/or existing products improvement via for example adding sensors & utilizing edge computing analytics.
Responsibilities and key activities:
Data analytics for KONE equipment
Development of new algorithms and methods
Improving existing solutions where big data is used",Kone,3.8,Pune,10000+ Employees,1910,Company - Public,Industrial Manufacturing,Manufacturing,$5 to $10 billion (USD)
Junior Data Scientist / Junior Data Analyst,₹396K - ₹746K (Glassdoor Est.),Data Analyst,"Job Title: Junior Data Scientist / Junior Data Analyst
Experience: 1 to 2 Years
Roles and Responsibilities:
People, with no prior experience in the field and/or domain will spend their initial months in understanding data, do basic analysis and validation, reports, to get deeper understanding of the business.
Candidates with prior relevant experience will work in development and implementation of predictive models and recommend actionable insights; they will use advanced machine learning techniques, among others, as per business requirements.
Qualification & Experience:",Applied Data Finance,4.4,Chennai,51 to 200 Employees,2014,Company - Private,Lending,Finance,Unknown / Non-Applicable
Data Scientist,-1,Data Scientist,"Job Description
Must have experience in R, Python, SQL
Develop algorithms and predictive models to derive insights and business value from data
Test and validate algorithms and models using statistical and other techniques
Must have experience in identifying valuable data sources and automate collection process.
Good experience in Data Mining.
Should have experience in building predictive models and algorithms using R as a tool
Strong in Statistical and Maths skills",Prompt Softech,4.2,Ahmedabad,201 to 500 Employees,2011,Company - Private,Computer Hardware & Software,Information Technology,$5 to $10 million (USD)
Data Scientist,-1,Data Scientist,"Role Overview

We are looking to hire a data scientist who will work with various cross-functional teams such as product, marketing, engineering, sales and customer success to develop and deliver data structures, statistical models, reports and deep-dive analysis that will provide actionable recommendations for Zeta’s businesses. We are looking for a problem solver with strong analytical and problem-solving skills who has a good understanding of statistics and machine learning, and able to work on projects from conceptualization to execution.

What is the Job like?

Work with a team of high performing data science professionals, and cross-functional business partners to identify business opportunities, optimize marketing campaigns, drive product road map or go to market strategy",Zeta,4.3,Bangalore,501 to 1000 Employees,2015,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Data & Analytics : Data Engineer (SAP HANA),₹900K - 0 (Glassdoor Est.),Data Engineer,"Who We Are


Today’s results-oriented business environment is more than that – it’s a period of disruption between the pandemic, global business change and internal process complexity. For us to focus on simplicity and the best customer experience, we need phenomenal talent and the right skillsets to be successful. This is now a mantra for our Cisco leadership team and for us.

The Digital Enterprise Solutions team is changing the way we run Cisco’s operations by improving the power of technology, the best of business processes and superior data insights. Together, we will Reimagine the Cisco experience. Show the world how to Reinvent applications and bring to bear the future of the Internet to Showcase the power of Cisco: our people, products, processes, systems, and data. Please join us and make this journey together!



Work with multiple complex data sets to accelerate operational and strategic data oriented decision making.

Understand the opportunities and business drivers building insight and solutions for those through data.

Hands-on delivery on Data Analysis, data acquisition, data cleanup, data threading, and make it available and consumable for business use cases.

Learn and apply data science tools and techniques including python, machine learning and data visualization.

Learn various eye for business from diverse groups within Cisco and apply the functional knowledge in your day-to-day work.

Lead a data engineering development team, and be responsible for the quality of its work.

Build, own and support the Enterprise Data Foundation datasets.

Identify and prioritize business and technical requirements using agile methodologies.

Work with a variety of product owners, scrum masters and development teams across different time zones.

Learn and apply data science tools and techniques including SQL, ELT/ETL, Python, machine learning and data visualization.



As part of the Digital Enterprise Solutions team, you will work with Data & Analytics - Product Engineering group,

To help provide data engineering and analytics solutions which will enable Cisco to be more data-driven to optimize its day to day operations and strategy.

In this role you will be collaborating closely with Customer Experience, Finance, Sales, IT and other Architecture and Engineering groups.



We’re seeking a hardworking and experienced individual who can, identify a business problem and solving it through data driven insights.

Experience in building requirements to improve data gathering for analytic purposes.

Got experience to Perform, Support and Lead all aspects of Different Functions like Data Analysis, acquisition, cleanup, data threading, and visualization.

A quick learner who understands and learns the business functionality and new technology landscape on the go.



BS/MS or equivalent (Advanced degree preferred)

10-12+ years of full-time data engineering/analytics experience.

Should have a very good hands on experience in working with



Cloud DB platforms (Snowflake, AWS, Google)



SQL, Python for Data Engineering and Data Science



Experience in leading Data Engineering/Data Migration projects.



Working knowledge in Tableau or Power BI or similar data analytics and presentation tools.

Certification in SAP Hana or Teradata or Snowflake or Data Engineering tool kits are a plus.

Domain/business knowledge on Finance/Sales, Bookings, Revenue/Install Base/Telemetry/Customer Success-Experience/Support Services are preferred

Should have experience in storytelling with data in form of visuals.

Familiarity with advance analytics and machine learning topics.

Outstanding analytical thinking and aptitude.

Good written and verbal communication skills, and comfortable presenting findings to executive level audience and translating data into understandable concepts.



#WeAreCisco, where each person is unique, but we bring our talents to work as a team and make a difference powering an expansive future for all.

We embrace digital, and help our customers implement change in their digital businesses. Some may think we’re “old” (36 years strong) and only about hardware, but we’re also a software company. And a security company. We even invented an intuitive network that adapts, predicts, learns and protects. No other company can do what we do – you can’t put us in a box!

But “Digital Transformation” is an empty buzz phrase without a culture that allows for innovation, creativity, and yes, even failure (if you learn from it.)

Day to day, we focus on the give and take. We give our best, give our egos a break, and give of ourselves (because giving back is built into our DNA.) We take accountability, aggressive steps, and take difference to heart. Because without diversity of thought and a dedication to equality for all, there is no moving forward.

So, you have colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool. Pop culture geek? Many of us are. Passion for technology and world changing? Be you, with us!",Cisco Systems,4.3,Bangalore,10000+ Employees,1984,Company - Private,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Python-Data Engineer III,-1,Data Engineer,"JOB DESCRIPTION

Job Requirements

Phenom People is looking for bright and motivated Data Engineers to play a key role in building the next generation Enterprise Data Lake. The ideal candidate will be passionate about building extremely large, scalable Data Lake on cloud and will want to be part of a team that has accepted the goal to provide data driven innovations at Phenom. We are one of fastest growing global Talent Relationship Marketing Cloud Platform with strong technology orientation.

Responsibilities

· Translate business and functional requirements into robust, scalable solutions that work well within the overall data architecture.

· Develops and maintains scalable data pipelines and builds new API integrations.

· Design, develop, implement, test, document, and operate large scale, high volume and low latency applications.

· Design data integrations and data quality framework.

· Participate in the full development life cycle, end-to-end, from design, implementation and testing, to documentation, delivery, support

· Experience in working and delivering end-to-end projects independently.



Must have

· Excellent knowledge in Python programming.

· 7+ Years development experience in big data using Spark.

· Experience with Dimension Modeling, Data Warehousing, and building ETL pipelines

· Strong expertise in SQL and experience in writing complex SQLs.

· Knowledge building stream processing platforms using Kafka, Spark Streaming

· Knowledge of using job orchestration frameworks like Airflow, Oozie, Luigi, etc

· Experience with AWS services such as S3, EMR, RDS

· Good understanding of cloud data warehouses like Snowflake is an added advantage.

· Good understanding of SQL distribution engines like Presto, Druid

· Knowledge of Streaming processing frameworks like Flink etc.

· Knowledge of NoSQL databases like HBase, Cassandra etc.



● Competitive salary for a startup

● Gain experience rapidly

● Work directly with executive team

● Fast-paced work environment

Apply Now",Phenom People,4.2,Hyderābād,1001 to 5000 Employees,2011,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Scientist,-1,Data Scientist,"Role Overview

We are looking to hire a data scientist who will work with various cross-functional teams such as product, marketing, engineering, sales and customer success to develop and deliver data structures, statistical models, reports and deep-dive analysis that will provide actionable recommendations for Zeta’s businesses. We are looking for a problem solver with strong analytical and problem-solving skills who has a good understanding of statistics and machine learning, and able to work on projects from conceptualization to execution.

What is the Job like?

Work with a team of high performing data science professionals, and cross-functional business partners to identify business opportunities, optimize marketing campaigns, drive product road map or go to market strategy",Zeta,4.3,Bangalore,501 to 1000 Employees,2015,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
GAMMA Senior Data Scientist,₹827K - ₹987K (Glassdoor Est.),Data Scientist,"Location:
Bengaluru, Chennai, Mumbai, New Delhi
Geography:
Asia Pacific
Capabilities:
Big data & advanced analytics, Technology & digital
Industries:
Technology industries",Boston Consulting Group,4,Bangalore,10000+ Employees,1963,Company - Private,Consulting,Business Service,$5 to $10 million (USD)
